FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-106 0 GSO-116 OT 0 0.7552 0.0727 0.1721 0.2085 -1 0.769238 0.0142 0.6667
0 GSO-106 0 GSO-92 OT 0 1.0 0.0 0.0 0.0 -1 0.691883 0.0294 0.75
0 GSO-106 0 GSO-139 OT 0 0.9415 0.0 0.0585 0.0585 -1 0.723718 0.0502 0.875
0 GSO-106 0 GSO-123 OT 0 1.0 0.0 0.0 0.0 -1 0.729256 0.1367 1.1429
0 GSO-106 0 GSO-97 OT 0 1.0 0.0 0.0 0.0 -1 0.709588 0.0502 0.875
0 GSO-106 0 GSO-138 OT 0 1.0 0.0 0.0 0.0 -1 0.682025 0.0502 0.875
0 GSO-106 0 GSO-31 OT 0 1.0 0.0 0.0 0.0 -1 0.728747 0.0142 0.6667
0 GSO-106 0 GSO-15 OT 0 1.0 0.0 0.0 0.0 -1 0.724269 0.0031 0.5
0 GSO-106 0 GSO-59 OT 0 1.0 0.0 0.0 0.0 -1 0.70958 0.0001 0.25
0 GSO-106 0 GSO-58 OT 0 1.0 0.0 0.0 0.0 -1 0.708917 0.0005 0.3636
0 GSO-106 0 GSO-12 OT 0 1.0 0.0 0.0 0.0 -1 0.686738 0.0502 0.875
0 GSO-106 0 GSO-26 OT 0 1.0 0.0 0.0 0.0 -1 0.681181 0.5 2.0
0 GSO-106 0 GSO-86 OT 0 1.0 0.0 0.0 0.0 -1 0.723161 0.2919 1.5
0 GSO-106 0 GSO-94 OT 0 0.8672 0.0698 0.063 0.0979 -1 0.737455 0.0031 0.5
0 GSO-106 0 GSO-19 OT 0 0.8852 0.0 0.1148 0.1148 -1 0.737168 0.0502 0.875
0 GSO-106 0 GSO-63 OT 0 0.885 0.0496 0.0654 0.0902 -1 0.735921 0.5 2.0
0 GSO-74 0 GSO-7 OT 0 1.0 0.0 0.0 0.0 -1 0.688878 0.8633 4.0
0 GSO-74 0 GSO-136 OT 0 1.0 0.0 0.0 0.0 -1 0.709068 0.7081 2.75
0 GSO-74 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.702084 0.9858 14.0
0 GSO-74 0 GSO-38 OT 0 1.0 0.0 0.0 0.0 -1 0.725622 0.8633 4.0
0 GSO-74 0 GSO-111 OT 0 1.0 0.0 0.0 0.0 -1 0.694993 0.8633 4.0
0 GSO-74 0 GSO-20 OT 0 1.0 0.0 0.0 0.0 -1 0.717265 0.7081 2.75
0 GSO-74 0 GSO-28 OT 0 1.0 0.0 0.0 0.0 -1 0.714848 0.5 2.0
0 GSO-74 0 GSO-115 OT 0 1.0 0.0 0.0 0.0 -1 0.70836 0.5 2.0
0 GSO-74 0 GSO-125 OT 0 1.0 0.0 0.0 0.0 -1 0.671171 0.9498 6.5
0 GSO-74 0 GSO-87 OT 0 1.0 0.0 0.0 0.0 -1 0.715084 0.5 2.0
0 GSO-74 0 GSO-120 OT 0 1.0 0.0 0.0 0.0 -1 0.70356 0.5 2.0
0 GSO-74 0 GSO-141 OT 0 1.0 0.0 0.0 0.0 -1 0.687944 0.9858 14.0
0 GSO-74 0 GSO-2 OT 0 0.9215 0.0 0.0785 0.0785 -1 0.7289 0.5 2.0
0 GSO-74 0 GSO-45 OT 0 1.0 0.0 0.0 0.0 -1 0.68104 0.0502 0.875
0 GSO-74 0 GSO-18 OT 0 1.0 0.0 0.0 0.0 -1 0.708155 0.7081 2.75
0 GSO-74 0 GSO-22 OT 0 1.0 0.0 0.0 0.0 -1 0.713373 0.9858 14.0
0 GSO-74 0 GSO-78 OT 0 0.6544 0.0 0.3456 0.3456 -1 0.808095 0.0502 0.875
0 GSO-74 0 GSO-65 OT 0 0.9923 0.0077 0.0 0.0039 -1 0.711012 0.1367 1.1429
