FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-129 0 GSO-134 OT 0 1.0 0.0 0.0 0.0 -1 0.706198 0.0142 0.6667
0 GSO-129 0 GSO-124 OT 0 0.8178 0.0 0.1822 0.1822 -1 0.753711 0.0294 0.75
0 GSO-129 0 GSO-64 OT 0 0.6236 0.3764 0.0 0.1882 -1 0.75018 0.2919 1.5
0 GSO-129 0 GSO-60 OT 0 1.0 0.0 0.0 0.0 -1 0.685505 0.0142 0.6667
0 GSO-129 0 GSO-104 OT 0 0.6373 0.3627 0.0 0.1813 -1 0.746227 0.5 2.0
0 GSO-129 0 GSO-143 OT 0 1.0 0.0 0.0 0.0 -1 0.688714 0.0502 0.875
0 GSO-129 0 GSO-10 OT 0 0.8776 0.1224 0.0 0.0612 -1 0.72375 0.1367 1.1429
0 GSO-129 0 GSO-1 OT 0 0.9105 0.0736 0.016 0.0527 -1 0.724303 0.2919 1.5
0 GSO-129 0 GSO-142 OT 0 0.6393 0.3607 0.0 0.1804 -1 0.741646 0.1367 1.1429
0 GSO-129 0 GSO-83 OT 0 0.2172 0.7828 0.0 0.3914 -1 0.786772 0.0502 0.875
0 GSO-129 0 GSO-72 OT 0 0.9177 0.0701 0.0121 0.0472 -1 0.722821 0.2919 1.5
0 GSO-129 0 GSO-53 OT 0 1.0 0.0 0.0 0.0 -1 0.696673 0.1367 1.1429
0 GSO-129 0 GSO-101 OT 0 1.0 0.0 0.0 0.0 -1 0.675666 0.0502 0.875
0 GSO-129 0 GSO-103 OT 0 0.8745 0.1255 0.0 0.0627 -1 0.706852 0.1367 1.1429
0 GSO-129 0 GSO-131 OT 0 1.0 0.0 0.0 0.0 -1 0.690014 0.0502 0.875
0 GSO-129 0 GSO-71 OT 0 0.7713 0.2287 0.0 0.1143 -1 0.720206 0.5 2.0
0 GSO-129 0 GSO-80 OT 0 0.3779 0.6221 0.0 0.311 -1 0.772895 0.9498 6.5
0 GSO-129 0 GSO-88 OT 0 0.8048 0.1952 0.0 0.0976 -1 0.725916 0.5 2.0
0 GSO-129 0 GSO-121 OT 0 1.0 0.0 0.0 0.0 -1 0.703925 0.0502 0.875
0 GSO-129 0 GSO-93 OT 0 1.0 0.0 0.0 0.0 -1 0.679497 0.2919 1.5
0 GSO-129 0 GSO-66 OT 0 0.9732 0.0 0.0268 0.0268 -1 0.717875 0.2919 1.5
0 GSO-129 0 GSO-90 OT 0 0.7146 0.251 0.0344 0.1599 -1 0.749156 0.8633 4.0
0 GSO-129 0 GSO-99 OT 0 0.3714 0.6286 0.0 0.3143 -1 0.779232 0.8633 4.0
0 GSO-129 0 GSO-69 OT 0 0.7148 0.1513 0.1339 0.2095 -1 0.76687 0.0142 0.6667
0 GSO-129 0 GSO-102 OT 0 0.7084 0.2599 0.0318 0.1617 -1 0.749364 0.8633 4.0
0 GSO-43 0 GSO-14 OT 0 0.9652 0.0 0.0348 0.0348 -1 0.719504 0.0502 0.875
0 GSO-43 0 GSO-51 OT 0 0.8902 0.1005 0.0093 0.0596 -1 0.725352 0.9858 14.0
0 GSO-43 0 GSO-73 OT 0 0.9293 0.0 0.0707 0.0707 -1 0.729544 0.1367 1.1429
0 GSO-43 0 GSO-79 OT 0 0.9682 0.0 0.0318 0.0318 -1 0.720075 0.2919 1.5
0 GSO-43 0 GSO-37 OT 0 0.9499 0.0 0.0501 0.0501 -1 0.722764 0.2919 1.5
0 GSO-43 0 GSO-105 OT 0 1.0 0.0 0.0 0.0 -1 0.708353 0.1367 1.1429
0 GSO-43 0 GSO-110 OT 0 1.0 0.0 0.0 0.0 -1 0.692695 0.1367 1.1429
0 GSO-43 0 GSO-34 OT 0 0.9027 0.0973 0.0 0.0487 -1 0.702232 0.2919 1.5
0 GSO-43 0 GSO-137 OT 0 1.0 0.0 0.0 0.0 -1 0.693712 0.2919 1.5
0 GSO-43 0 GSO-126 OT 0 1.0 0.0 0.0 0.0 -1 0.720679 0.8633 4.0
0 GSO-43 0 GSO-44 OT 0 1.0 0.0 0.0 0.0 -1 0.718536 0.0142 0.6667
0 GSO-43 0 GSO-133 OT 0 1.0 0.0 0.0 0.0 -1 0.702009 0.1367 1.1429
0 GSO-43 0 GSO-33 OT 0 1.0 0.0 0.0 0.0 -1 0.70291 0.1367 1.1429
0 GSO-43 0 GSO-84 OT 0 1.0 0.0 0.0 0.0 -1 0.676259 0.0142 0.6667
0 GSO-43 0 GSO-35 OT 0 1.0 0.0 0.0 0.0 -1 0.690189 0.1367 1.1429
0 GSO-43 0 GSO-70 OT 0 1.0 0.0 0.0 0.0 -1 0.693134 0.0502 0.875
0 GSO-43 0 GSO-40 OT 0 1.0 0.0 0.0 0.0 -1 0.700767 0.2919 1.5
0 GSO-43 0 GSO-89 OT 0 1.0 0.0 0.0 0.0 -1 0.718559 0.7081 2.75
0 GSO-43 0 GSO-112 OT 0 0.7955 0.2045 0.0 0.1023 -1 0.712453 0.2919 1.5
